Vehicle description,Powerplant type,Cost to insure,Exterior colour,Interior colour,Body type,Transmission,Engine,Registration plate,Registration expiry,Roadworthy certificate,Last Modified,carsales Network ID,Odometer,Fuel,Model date,Seller description,Image URLs,Price,Seat Style,Seat Adjustment,Headrest Cavallino Logo,Seat Contrast Stitching,Seat Piping,Body Colour,Paint Finish,Front Grille,Rear Grille,Scuderia Shields,Side Skirts Finish,Wheel Type,Brake Caliper Colour,Dashboard & Console Trim,Carpet Colour,Leather Rear Shelf (Coupe only),Leather Roll Bar Hoops (Spider only),Leather Luggage Straps (Coupe only),Fire Extinguisher,Hi-Fi Stereo,6-CD Changer,Subwoofer,Satellite Navigation (Becker),Dedication Plate,Leather Door Sills,Leather Headliner,Coloured Upper Dashboard,Coloured Steering Wheel,Special Stitching Colour,Transmission,Suspension Package,Exhaust System,Spider Soft Top Colour (Spider only),Tonneau Cover Finish (Spider only),Luggage Set,Spare Wheel Kit,Battery Charger Pre-Wiring Kit
Modena F1 Coupe 2dr Seq. Mac 6sp 3.6i [IMP],Internal Combustion Engine (ICE),Not found,Grigio alloy,Blue,Coupe,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",1INQ856,2 months/August 2025,No,13 Jun 2025,SSE-AD-18908410,"44,000km",Petrol,2000,"Every motoring enthusiast should own at least one Ferrari at some point in their life  and this delightfully specified Ferrari 360 F1 Modena Coupe is your ideal introduction to the marque.

Welcome to a genuine, low mileage Ferrari 360 F1 Modena. Full regular logbook service history and lovingly maintained from new. Personally selected while i was in the UK and I just had to bring it back to Perth with me last year. Let me tell you why itâs a good one. 

 As a modern classic and one of the first Ferraris to embrace technology to control things such as the engine power curve, the F1 gearboxâs shift points, and even the ride, the 360 balances the analogue nature we all love in our classic cars with a level of reliability, performance, and safety that was unheard of even a decade before. 

If you are a discerning enthusiast who wants to experience an old school supercar but doesnât want to compromise either driving pleasure or the carâs everyday usability to get it, you will find the 360 a very attractive proposition. 

So what is my 360 like? Aluminium chassis and body are accident-free, with no corrosion. 28% lighter than the previous model F355. Australian Compliance. Since arriving in Australia it has been Engineer-certified to Australian standard, serviced including oil, filter and brake fluid changes, pit passed and then subjected to a full covers-off inspection with all advisories addressed. So, itâs properly sorted. Jump in and drive away. 

I really like the colour, which is more a silvery blue than a grey, and stylishly matches the beautiful blue leather interior. It is a stunning alternative to red and black. 

In keeping with the vast majority of new 360 buyers, I prefer the second generation F1 automated manual gearbox, over the gated manual. It is quicker, easier and smoother for a computer to operate the clutch and match the gears/engine speed. The 360 is a quick car and the F1 box makes it an absolute pleasure to drive. 

When youâre ready for a drive, press the remote to unlock the driver's door and you will hear the F1 gearbox pump priming itself. Climb in. Visibility is surprisingly good. Turn off the alarm, put your foot on the brake and let the car erupt. The F1 has the same gearbox as the gated manual and the same clutch. But a computer responds to the driver's inputs and perfectly controls the gear changes. Pull back both paddles behind the wheel for neutral. Pull back the right paddle for first gear. There are six gears. Pull the left paddle back to go down a gear. Or just let the computer do it for you. It is great fun when you get used to it and the sounds are intoxicating. For reverse, lift the small reverse lever up and then gently lift it back. 

The Ferrari 360 is very lightweight, perfectly balanced and a hoot to drive, with the best steering, surprisingly compliant suspension, no body roll, and a powerful engine with linear delivery. You will love it. The new Nouvalari Sport muffler is a little louder than OEM but offers a very well-tuned sound all the way up the rev range without the drone. It replaces the Nouvalari Super Sports muffler you hear in the video that I felt was too loud. Nouvalari are hand made to order in stainless steel by PD Gough in Nottingham and offer a unique transferable Vehicle Life guarantee. 

My 360 comes with the leather-bound book pack containing the service records and all handbooks. In the front boot are the leather-bound Ferrari complete tool kit and the original flat tyre inflator. There is no spare wheel. There is thick file on the Ferrari's history, including invoices and all its import documentation.

Options include front and rear Challenge style grilles for improved engine ventilation, Logo Scuderia Ferrari Shields on fenders, 6 CD changer, hi fi system and xenon headlights. 

Donât miss this one. Finance and extended warranty service available to approved buyers. ","['https://carsales.pxcrush.net/carsales/cars/private/2hdom3wo09kauwtvd37lwvqny.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/bzzro9q7q7i42cqr9w63rqgku.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/6caclgj9lhlu2wedcqt9e0ngr.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$135,900",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider F1 Convertible 2dr Seq. Mac 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Nero Daytona,BIEGE LEATHER,Convertible,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,February 2024,No,21 May 2025,SSE-AD-15915775,"65,440km",Petrol,2002," 0-100km/h in 4.5 seconds!. Built with a 3.6 litre engine and 294.0kW of power rear mounted engine...absolute pleasure to drive this stunning sports car with the electric convertible top down & hearing the Caballo Exhausts pipes while you drive up to the blue mountains.   

Some safety features:
- Driver airbag
- Passenger airbag
- Roll bars 

OTHER FEATURES:
This 2002 Ferrari 360 Spider F1 Auto has ventilated drilled/grooved rear disc brakes. 
It is fitted with 18"" alloy wheels. 
It has climate control air conditioning. 
Ventilated drilled/grooved front disc brakes, 4 pot front brake calipers, leather interior & steering wheel, limited slip diff (LSD), power door mirrors, power steering, 4 pot rear brake calipers and front power windows.","['https://carsales.pxcrush.net/carsales/cars/private/cogplgucz6gmxo88n6txd5ske.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/58h8os895elwp7beweuxu4dw4.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/as5po6ug1ojdk5ywt4bnphuz7.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/4gq29obmz844aelwdl49iz74y.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$172,500",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider F1 Convertible 2dr Seq. Mac 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Rosso Corsa,Crema,Convertible,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,May 2023,Provided at pick-up by seller,4 May 2025,SSE-AD-13190924,"30,000km",Petrol,2004,"2004 Ferrari 360 Spider F1. 

Timeless design. This modern classic is presented with the highly desirable colour combination of Rossa Corsa with Crema interior. 

Immaculate stock condition to suit the most meticulous buyer or collector, 30000 kilometres, full annual Ferrari Service history. Last service October 2024 - Nothing more to spend for the new owner. 

Only 3,000km driven since Clutch and Timing Belt service completed. 

It will come with both 360 and F430 wheels included. 

- Full Logbook 
- All Manuals 
- Full set Tool Kit
- 3 Sets of Keys
- Michelin PS2 tyres (Driven only 3,000km)
- Non Smoker

$229,000 or near offer. 


More Details:

Accelerates from 0-100 km/h in 4.5 seconds!. Engineered with a 3.6 litre engine and 294kW of power!. 

Safety features include:
- ABS brakes
- Driver airbag
- Passenger airbag


EXTRA FEATURES:
- Power steering
- Leather steering wheel
- Ventilated drilled/grooved front disc brakes
- Power door mirrors
- Front power windows
- Climate control air conditioning
- Limited slip diff (LSD)
- Ventilated drilled/grooved rear disc brakes
- 4 pot rear brake calipers","['https://carsales.pxcrush.net/carsales/cars/private/8v3oepse8ml25l7cckpz0eij6.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/7i4oybndd5wtz5qw7wneu13k9.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/cu8kv6qrnz1qwozmnyosc3paw.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/8q4235q05v1tzmyuj0v6nb9bs.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$229,000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,F1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider Convertible 2dr Man 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Nero Daytona,Black,Convertible,Manual,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,May 2025,Provided at pick-up by seller,18 May 2025,SSE-AD-18594946,"24,876km",Petrol,2004,"This exotic Ferrari 360 for sale. Personally imported from the UK, this gated manual screamer must sadly make way for an addition to my collection. In Summary:

Pros:
- Meticulously maintained from Ferrari specialist Scuderria cavalino
- servicing up to date including belts recently done
- All sticky buttons redone
- Extremely low mileage 24,878 Miles
- Daytona seats
- Gated Manual
- soft top in perfect working order
- all service receipts and books
- extremely rare Tubi competition exhaust. Completely changes this exotic combined with the gated manual screamer
- paint correction and coating from detail specialist Pandapro
- immobiliser and period correct Colour Alpine head unit

Cons
- soft top has slight wear
- slight crack in the front headlight
- Latch opening front hood 

In Summary, this beautiful gated 360 has all the work completed bringing it up to date and ready for its next owner to take custody and enjoy.

","['https://carsales.pxcrush.net/carsales/cars/private/6ekh57tivr91i8xuml0r4c956.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/8e6sh7eyq8r3fkyjy06zsmmzj.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/d4482nohb9vv4nbmeiks2mhb.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$203,000",Daytona,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider F1 Convertible 2dr Seq. Mac 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Giallo Modena,Black,Convertible,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,Provided at pick-up by seller,18 May 2025,SSE-AD-18561222,"32,159km",Petrol,2002,"For Sale: Ferrari 360 Spider â The Ultimate Driving Machine, Low KMS & Stunning Features!

Car is still available if your reading this ad.
There is no final price if you haven't viewed the car.

Registration expires 20th March 2026

If youâve been waiting for the perfect Ferrari, your moment has arrived. This Ferrari 360 Spider in breathtaking Giallo Modena Yellow is a true work of art, with only 32,159 kms on the clock, ready to deliver exhilarating performance and a world-class driving experience. Designed for enthusiasts who crave power, beauty, and exclusivity, this Ferrari has it all.

Key Features:

Giallo Modena Exterior: This iconic Ferrari yellow shines brightly in the sun, making an unforgettable statement wherever you go. Itâs the perfect colour for the Ferrari aficionado who wants to stand out. The cabin features rich black leather with striking yellow accents, seamlessly tying together the exterior and interior for an eye-catching, high-performance aesthetic.
Challenge Stradale Front and Rear Grilles: A sleek and aggressive look, these grilles add an authentic racing touch, enhancing airflow and cooling while giving the 360 Spider a more aggressive, performance-oriented appearance.
Challenge Stradale Air Intakes: Featuring the distinctive intakes from the Ferrari Challenge Stradale, these upgrades not only improve aerodynamics but also contribute to the car's incredible performance capabilities.
19-Inch Wheels: The larger wheels give the car a commanding presence on the road while improving handling and cornering precision, ensuring the ultimate driving experience at any speed.
This Ferrari 360 Spider is a stunning blend of style, performance, and Ferrariâs legendary craftsmanship. It offers an immersive driving experience, with a sound that will excite you every time you start the engine, and a look that will leave a lasting impression.

Why You Should Own This Ferrari:

A Ferrari with this low mileage is an absolute gem, offering the perfect balance of performance and preservation.
Its striking exterior and interior details make it an instant classic.
The Challenge Stradale upgrades enhance both form and function, providing a more aggressive and thrilling driving experience.

Car is available for viewing in showroom located in Artarmon 
(Andrea Motori)
No service history available.
","['https://carsales.pxcrush.net/carsales/cars/private/2vpe81b239qhzncl3p4geefyx.jpg?pxc_width=1024?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/afyte442qbq4yeo26uxs5uqpr.jpg?pxc_width=1024?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/bls6g1sruqzzx2brt4dkhpf93.jpg?pxc_width=1024?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$169,500",Unknown,Unknown,Unknown,Unknown,Unknown,Giallo Modena,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Modena Coupe 2dr Man 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Argento Nurburgring,Black,Coupe,Manual,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,Not found,Not found,Not found,"43,826km",Petrol,2001,"We are proud to present this stunning, Australian-delivered Ferrari 360 Modena with a highly coveted gated manual transmissionâa true drivers sportscar. We invite you to explore the opportunity to own this remarkable example of automotive excellence, finished in elegant Argento Nurburgring paint and paired with a Nero leather interior.

Delivering 294 kW at 8,500 rpm, the performance exhaust system ensures this Modena sounds as exhilarating as it drives. Its striking exterior is enhanced with F430 Scuderia wheels and a Challenge Stradale rear grille, giving it a distinctive, aggressive stance that turns heads both on the road and in your garage.

Key Features Include:
Performance exhaust system
Challenge Stradale grille
F430 Scuderia wheels
Nero (Black) brake calipers
Nero (Black) carpet
""Scuderia Ferrari"" fender shields

This vehicle is also supplied with:
Two original keys
Original wheels
Ferrari car cover
Full set of books in leather wallet

Located in the Adelaide CBD, our Ferrari showroom offers competitive finance, insurance and extended warranties. Interstate purchases are made easy with freight to your office or home. As part of Adelaide's most luxurious motoring group, we strive to deliver the finest experience. As soon as you set foot in our showroom it's clear that excellence isn't a claim, it's a standard. We are dedicated to making your next vehicle purchase experience as pleasurable as possible, exceeding your expectations every time. Inquire now and one of our helpful team will call to assist you with your purchase.","['https://carsales.pxcrush.net/carsales/cars/dealer/cpftskzqajt987jfk2xup09xf.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/dealer/8sdgbes7jti6zlz20d8bajts8.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/dealer/4s5aub3t8hc0gn7gj44zm2l38.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/dealer/6rixooe337wwmj8kpxgfsnlpv.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$249,888",Unknown,Unknown,Unknown,Unknown,Unknown,Argento Nurburgring,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider Convertible 2dr Man 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Blue,Not found,Convertible,Manual,"8 cylinders, Petrol Aspirated, 3.6L",1IOD903,3 months/September 2025,Not found,Not found,Not found,"21,652km",Petrol,2001,"*ALL OUR VEHICLES ARE ACCIDENT / HAIL / STORM / FLOOD / DAMAGE / FINANCE FREE AND INCLUDE A FREE PPSR REPORT **

Feel free to come on down to inspect, test drive or apply for finance on one of our cars at ,
located conveniently at   just 10 minutes from the Perth CBD. Look for the flags at 
the corner of ,  or call Maurice on.

Extended warranties our available on all of our vehicles for added peace of mind in the years to come. Do not hesitate to ask our friendly staff for more details, it will be our pleasure.

All trade ins are welcome, if it has at least a wheel, we will likely trade it! For those who have a vehicle with finance on it, we can pay out your finance and you can drive away in ne of our cars in a timely fashion! 

Check out our  reviews, we endeavour to maintain honesty, integrity and a ''no problem is too difficult'' for our friendly, positive staff to solve. We can even help you get the car of your dreams when you have been knocked back elsewhere!",[],"$248,888",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider F1 Convertible 2dr Seq. Mac 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Argento Nurburgring,Black,Convertible,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,Not found,Not found,Not found,"21,908km",Petrol,2003,"Fabulous 2003 Ferrari 360 Spyder in concourse condition with very low kms!!!

AUSTRALIAN DELIVERED AND COMPLIANCED.

Only travelled for 21,908kms, 1 family owner, the car comes with 2 original keys and a complete service history
It has been said that............. Everyone should own a sports car at least once in their life.
This being true what better car to fulfil your dreams than this Ferrari 360 Spyder.
Ideally suited to someone who not only appreciates the marque, but also, recognizes the fantastic value and potential increase in value

Don't miss the deal. Call us or leave an enquiry for further information about the car.

We are conveniently located just to minutes west of the CBD and we are open 6 days offering:
- Competitive finance options
- Generous trade-ins
- Country & Interstate buyers especially catered for Australia-wide delivery arranged

We have been trading for over 40 years, specializing in low mileage prestige vehicles with documented history. Our cars are sourced either direct from the original owner, or, as a handpicked trade-in from prestige new car houses.

We pride ourselves on both the quality and pricing of all our cars","['https://carsales.pxcrush.net/carsales/cars/dealer/aw6khjul40m9350mvqn3xvyl7.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/dealer/etdv9wrgzzhfel80r50hgkrn4.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/dealer/2sjf1e48wn74jpq78lmqnxn71.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/dealer/2d3s1qmh36bw5rnfkmfqffj9b.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$174,990",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider F1 Convertible 2dr Seq. Mac 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Yellow,Black,Convertible,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,Not found,Not found,Not found,"56,176km",Petrol,2004,"An immaculate example of Italian history wrapped up in the classic Giallo Modena exterior paint!

Imported in 2014 the vehicle has spent half its life in the country being truly loved.

Your ride will always feel complete with the Ferrari 360 F1 shift system that uses a paddle-shift gearbox, an automated manual transmission. It allows for quick and efficient gear changes without a clutch pedal.

Fully workshop inspected prior to handover, and priced to sell fast! As a proudly family-owned business just 20 minutes north of Perth, were one of Australias fastest-growing used car dealerships, offering a welcoming, pressure-free environment with over 600 five-star  reviews across our locations.

We know that buying a car can feel daunting, which is why we go the extra mile to make it enjoyable. Our facilities include a kids playground, games room, and free refreshmentsso feel free to bring the whole family!

Have a trade-in? Well take anything! Bring your pride and joy down and get a price on the spot.

We also offer easy on-site finance with pre-approvals available, so you can drive away the same day on selected vehicles. Stock is moving fastdont miss out!

Every vehicle is thoroughly inspected and prepared by our on-site workshop, ensuring it meets our high standards for safety, reliability, and presentationbecause we treat every car like its our own.",[],"$164,990",Unknown,Unknown,Unknown,Unknown,Unknown,Giallo Modena,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,F1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider Convertible 2dr Man 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Yellow,Not found,Convertible,Manual,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,Not found,Not found,Not found,"47,381km",Petrol,2001,"FERRARI F360 SPIDER 6-SPEED MANUAL 2001 CONVERTIBLE. AUSTRALIAN DELIVERED AND COMPLIANCED. Finished in absolutely stunning Giallo Modena, full ash black leather interior throughout with double stitching, A LOW SUBSTANTIATED LOW 47,381KMS FROM NEW, upgraded CLARION touch screen head unit with GPS navigation and on-screen REVERSE CAMERA, many extras, drives superbly, fastidiously kept in pristine condition. Formed part of a multi-million-dollar car collection and sat in storage for many years and now finally available for sale. **This car is valid for our  SUPERCAR INTEGRITY WARRANTY PACKAGE** 
Beautifully presented, a sensational looking modern Italian exotic mid-engine supercar with the most sought after 6-SPEED MANUAL GEARBOX combination that is increasing in value rapidly and AUSTRALIAN DELIVERED. First to see and drive will buy. We cannot get enough of these iconic Ferrari Spiders especially a 6-SPEED MANUAL GEARBOX example, they are all selling immediately and GOING UP IN VALUE. Please enquire ASAP to avoid disappointment, this is a genuine example in outstanding condition inside and out and represents excellent outstanding 360 SPIDER with 6-SPEED MANUAL GEARBOX buying for only $189,990.

To discuss this vehicle in detail and purchase process, finance and insurance options, please speak to our dedicated team today for personalised service.
If you have a similar car to sell or would like to discuss consignment, please forward your vehicle details, our senior valuer will reply on how we can assist you best.

**  SYDNEY  **.

We have over 150 Luxury Prestige and Exotic cars in stock with fresh stock arriving daily.

*PLEASE NOTE the Vehicle Features and Options listed in this advertisement are automatically supplied by Redbook code for this Make/Model and are not specific to this vehicle. Please confirm Options List with Selling Dealer or Manufacturer.*

INTERSTATE VEHICLE SALES:
- All Cars sold unregistered
- 7 Days drive permit issued
- VIC Roadworthy certificate / NSW Pink-Slip supplied
- Interstate and Local Transport available ( Open carrier )

Melbourne CBD from $790
Brisbane CBD from $1,200 
Adelaide CBD from $1,300 
Perth CBD from $2,950
*Please request a quote for ENCLOSED FREIGHT*
( Please feel free to inquire with our sales support team for precise quote tailored to your specific location. )","['https://carsales.pxcrush.net/carsales/cars/dealer/atq69n0chvc3fruopoh05pmnn.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/dealer/9x1wlyf81nxtt43o9o93ay4kn.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/dealer/7bpqert9nreyc62ihiz0fsfaq.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/dealer/6jiyz4ogdy5oinehkfm8jcn7l.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$189,990",Unknown,Unknown,Unknown,Unknown,Unknown,Giallo Modena,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
